Question,Web Retrieved
Why is Mercury the closest planet to the Sun?,Mechanistic
Why does chocolate melt in your mouth?,Mechanistic
Why is blood red?,Mechanistic
Why do we get goosebumps?,Mechanistic
Why does a prism form a rainbow when white light passes through it?,Mechanistic
Why do we get jet lag?,Mechanistic
Why do lava lamps work?,Mechanistic
Why is saliva necessary for digestion?,Mechanistic
Why do iron objects sink in water but a large ship made of iron floats?,Mechanistic
Why does Earth have a magnetic field?,Mechanistic
Why are there leap years?,Mechanistic
Why do cats always land on their feet?,Mechanistic
Why does a swimming pool appear shallower than it really is?,Mechanistic
Why do insects get attracted to light?,Teleological
Why does milk curdle?,Mechanistic
Why does soda fizz when shaken?,Mechanistic
Why do we shiver when cold?,Mechanistic
Why does a rainbow have seven colors?,Mechanistic
Why does the moon change shape?,Mechanistic
Why do planets orbit the sun?,Mechanistic
Why is fire hot?,Mechanistic
Why do leaves change color in autumn?,Mechanistic
Why does water turn into steam when it boils?,Mechanistic
Why does the earth spin?,Mechanistic
Why are plants green?,Mechanistic
Why can’t we see light move?,Mechanistic
Why do magnets attract and repel?,Mechanistic
Why don’t we feel the earth moving?,Mechanistic
Why does sound travel faster in solids than in air?,Mechanistic
Why do some substances dissolve in water?,Mechanistic
Why is the atmosphere thinner at higher altitudes?,Mechanistic
Why does light refract?,Mechanistic
Why do we have seasons?,Mechanistic
Why does sugar turn brown when heated?,Mechanistic
Why do onions make us cry?,Mechanistic
Why does salt enhance flavor?,Mechanistic
Why is the sky dark at night?,Mechanistic
Why do different elements produce different colored flames?,Mechanistic
Why does inhaling helium change your voice?,Mechanistic
Why do we sweat?,Mechanistic
Why do we dream?,Teleological
Why is the heart on the left side?,Mechanistic
Why are bees attracted to flowers?,Teleological
Why does iron rust?,Mechanistic
Why is gold so heavy?,Mechanistic
Why are rainbows curved?,Mechanistic
Why does hair turn gray with age?,Mechanistic
Why do cuts heal?,Mechanistic
Why are some people left-handed?,Mechanistic
Why do birds migrate?,Mechanistic
Why is the ocean salty?,Mechanistic
Why are diamonds so hard?,Mechanistic
Why do volcanoes erupt?,Mechanistic
Why does carbon dioxide put off fire?,Mechanistic
Why does life expectancy increase?,Mechanistic
Why do we age?,Mechanistic
Why does the body need sleep?,Mechanistic
Why is yawning contagious?,Mechanistic
Why do earthquakes occur?,Mechanistic
Why does our skin wrinkle in water?,Mechanistic
Why does the sun burn our skin?,Mechanistic
Why does helium make balloons float?,Mechanistic
Why is ice slippery?,Mechanistic
Why does warm air rise?,Mechanistic
Why is there a leap year every four years?,Mechanistic
Why do ants walk in a line?,Mechanistic
Why are some plants carnivorous?,Mechanistic
Why does oil float on water?,Mechanistic
Why can we see the moon during the day?,Mechanistic
Why do chameleons change color?,Teleological
Why does glucose taste sweet?,Mechanistic
Why can't humans digest grass?,Mechanistic
Why do cellphones emit radiation?,Mechanistic
Why is the speed of light constant?,Mechanistic
Why does a prism separate white light into different colors?,Mechanistic
Why does a mirror reverse horizontally but not vertically?,Mechanistic
Why do peacocks display their feathers?,Teleological
Why do some plants bloom at night?,Teleological
Why does hot water freeze faster than cold water?,Mechanistic
Why do we lose our sense of taste when we have a cold?,Mechanistic
Why does a body float in Dead Sea?,Mechanistic
Why are the poles colder than the equator?,Mechanistic
Why does DNA replicate semi-conservatively?,Mechanistic
Why do hurricanes spin counterclockwise in the Northern Hemisphere?,Mechanistic
Why are mitochondria called the powerhouse of the cell?,Mechanistic
Why do we hear our own voice differently than others hear it?,Mechanistic
Why is genetic diversity important?,Mechanistic
Why is the outer layer of the Earth's atmosphere hot?,Mechanistic
Why is silicon used for making computer chips?,Mechanistic
Why does vinegar curdle milk?,Mechanistic
Why can cats see in the dark?,Mechanistic
Why does skin peel after a sunburn?,Mechanistic
Why is the Amazon rainforest so rich in biodiversity?,Mechanistic
Why do fish breathe through gills?,Mechanistic
Why are tears salty?,Mechanistic
Why are bananas radioactive?,Mechanistic
Why does pineapple make your tongue itch?,Mechanistic
Why are zebras striped?,Mechanistic
Why are neutrons needed in a nuclear reactor?,Mechanistic
Why do we get a headache when we cry?,Mechanistic
Why does carbon dioxide cause global warming?,Mechanistic
Why does UV light cause skin cancer?,Mechanistic
Why do Venus and Uranus spin in the opposite direction to other planets?,Mechanistic
Why is Venus the hottest planet despite being second closest to the sun?,Mechanistic
Why is Brian Cox popular among physicists?,Teleological
Why are there so many species in the Amazon rainforest?,Mechanistic
Why are rovers used to explore Mars?,Mechanistic
Why does the body reject organ transplants?,Mechanistic
Why does ice float on water?,Mechanistic
Why are there different seasons?,Mechanistic
Why do leaves change color in the fall?,Mechanistic
Why do different elements burn with different colored flames?,Mechanistic
Why is table salt NaCl?,Mechanistic
Why are some diseases hereditary?,Mechanistic
Why can't we breathe in space?,Mechanistic
Why does DNA have a double helix structure?,Mechanistic
Why is global warming a problem?,Mechanistic
Why do different liquids have different boiling points?,Mechanistic
Why does water evaporate?,Mechanistic
Why is gravity stronger on earth than on the moon?,Mechanistic
Why is photosynthesis important for life on earth?,Mechanistic
Why is biodiversity important?,Teleological
Why is one side of the moon always facing earth?,Mechanistic
Why does light refract when it passes from one medium to another?,Mechanistic
Why does oil not mix with water?,Mechanistic
Why are animals colored in certain ways?,Mechanistic
Why does a volcano erupt?,Mechanistic
Why does the moon affect the tides on earth?,Mechanistic
Why is sea water salty?,Mechanistic
Why does acid rain occur?,Mechanistic
Why is the earth round?,Mechanistic
Why do we have fingerprints?,Mechanistic
Why are there high tides and low tides?,Mechanistic
Why does sound travel faster in solid than in gas?,Mechanistic
Why do we need to drink water?,Teleological
Why do batteries discharge over time?,Mechanistic
Why is Pluto no longer considered a planet?,Mechanistic
Why does rust form on iron objects?,Mechanistic
Why do humans age?,Mechanistic
Why is oxygen necessary for burning?,Mechanistic
Why do comets have tails?,Mechanistic
Why does milk turn sour?,Mechanistic
Why is thermal expansion important in building construction?,Mechanistic
Why does the sun rise in the east and set in the west?,Mechanistic
Why are certain materials magnetic?,Mechanistic
Why do helium balloons float?,Mechanistic
Why is carbon dioxide harmful to the atmosphere?,Mechanistic
Why do plants need sunlight?,Mechanistic
Why do we see rainbows?,Mechanistic
Why do our fingers wrinkle in the water?,Mechanistic
Why do we have different time zones?,Mechanistic
Why does moisture condense on the outside of a cold glass of water?,Mechanistic
Why are stars different colors?,Mechanistic
Why does a mirror reflect light?,Mechanistic
Why do honeybees die after they sting?,Mechanistic
Why are there craters on the moon?,Mechanistic
Why is sodium kept in oil?,Mechanistic
Why are viruses considered non-living?,Mechanistic
Why do certain objects glow under UV light?,Mechanistic
Why do some fruits ripen faster when placed in a paper bag?,Mechanistic
Why is the greenhouse effect important?,Mechanistic
Why do we yawn?,Mechanistic
Why is water a good solvent?,Mechanistic
Why is the Amazon Rainforest so diverse?,Mechanistic
Why does magnet attract iron?,Mechanistic
Why is the Pacific Ring of Fire so active?,Mechanistic
Why do frogs hibernate?,Mechanistic
Why is freshwater a limited resource?,Mechanistic
Why does baking soda react with vinegar?,Mechanistic
Why is the ozone layer important?,Mechanistic
Why is alcohol a depressant?,Mechanistic
Why do mosquitoes bite?,Mechanistic
Why does iron oxide have different colors?,Mechanistic
Why is nitrogen so abundant in the atmosphere?,Mechanistic
Why are rainforests being deforested?,Mechanistic
Why are coral reefs dying?,Mechanistic
Why do metals expand when heated?,Mechanistic
Why do ocean tides occur?,Mechanistic
Why does the heart beat?,Mechanistic
Why are certain objects radioactive?,Mechanistic
"Why are elements classified into metals, non-metals, and metalloids?",Mechanistic
Why do plants grow towards light sources?,Mechanistic
Why do certain gases contribute to the greenhouse effect?,Mechanistic
Why are black holes black?,Mechanistic
Why is the sun important for life on Earth?,Mechanistic
Why do we need to sleep?,Teleological
Why are whales mammals and not fish?,Mechanistic
Why does matter have mass?,Mechanistic
Why do solar and lunar eclipses occur?,Mechanistic
Why is sugar sweet?,Mechanistic
Why can't oil and water mix?,Mechanistic
Why do some creatures glow in the dark?,Mechanistic
Why do some insects undergo metamorphosis?,Teleological
Why does carbon dating help in studying history?,Mechanistic
Why do eyes change color?,Mechanistic
Why do we have different skin colors?,Mechanistic
Why are there so many species of beetles?,Mechanistic
Why do animals hibernate?,Mechanistic
Why do different gases have different colors when they ionize?,Mechanistic
Why does microwave heat up food?,Mechanistic
Why is it easier to swim in the ocean than a pool?,Mechanistic
Why does sugar dissolve in warm water faster than in cold water?,Mechanistic
Why does friction produce heat?,Mechanistic
Why is dew formed in the morning?,Mechanistic
Why can we not hear any sound on the moon?,Mechanistic
Why are flowers colorful?,Mechanistic
Why do cats purr?,Teleological
Why do positive and negative charges attract each other?,Mechanistic
Why is the human blood red?,Mechanistic
Why does temperature increase with height in the stratosphere?,Mechanistic
Why is sodium stored in kerosene?,Mechanistic
Why does our skin wrinkle in the water?,Mechanistic
Why doesn’t the moon fall down to the Earth?,Mechanistic
Why is carbon so special in the world of chemistry?,Mechanistic
Why do mirrors reflect light?,Mechanistic
Why do bananas slope upwards?,Mechanistic
Why do photography films have to be developed in the dark?,Mechanistic
Why is diamond harder than graphite?,Mechanistic
Why don’t fish drown?,Mechanistic
Why do apples fall from trees?,Mechanistic
Why is latitude measured in 180 degrees?,Mechanistic
Why do dogs have wet noses?,Mechanistic
Why is water considered a universal solvent?,Teleological
Why does cheese melt when heated?,Mechanistic
Why does helium make your voice sound funny?,Mechanistic
Why is acetic acid present in vinegar?,Mechanistic
Why don't spiders get caught in their own web?,Mechanistic
Why do cucumbers turn bitter?,Mechanistic
Why don't clouds fall from the sky?,Mechanistic
Why is lightning followed by thunder?,Mechanistic
Why does gas burn blue?,Mechanistic
Why is venom different from poison?,Mechanistic
Why does antibiotic resistance occur?,Mechanistic
Why does the human eye see more shades of green than any other color?,Mechanistic
Why does alcohol evaporate quicker than water?,Mechanistic
Why do tree leaves turn towards light?,Mechanistic
Why is there less gravity on the moon than on the Earth?,Mechanistic
Why do we hear a sea shell's sound?,Mechanistic
Why is mercury liquid at room temperature?,Mechanistic
Why do bees sting?,Mechanistic
Why doesn't milk spoil when it's inside a cow?,Mechanistic
Why does the tide change?,Mechanistic
Why are forests important for the Earth's ecosystem?,Teleological
Why do different elements have different atomic masses?,Mechanistic
Why can't we breathe underwater?,Mechanistic
Why do batteries run out?,Mechanistic
Why does cement harden when mixed with water?,Mechanistic
Why do our eyes have two different types of cell - rods and cones?,Mechanistic
Why do cactus have spines?,Teleological
Why does tea become bitter after boiling for a long time?,Mechanistic
Why does the sun emit light?,Mechanistic
Why does water have a high boiling point despite being a small molecule?,Mechanistic
Why does rust occur on iron?,Mechanistic
Why do carnivorous plants eat insects?,Teleological
Why is bleach so potent?,Mechanistic
Why do birds have beaks?,Teleological
Why do certain animals hibernate?,Mechanistic
Why do some organisms exhibit bioluminescence?,Teleological
Why can we see stars at night but not during the day?,Mechanistic
Why do flowers have different shapes and sizes?,Teleological
Why does silicon exist in sand?,Mechanistic
Why is pure water neutral?,Mechanistic
Why do fireflies glow?,Mechanistic
Why is Neptune blue?,Mechanistic
Why do we feel more pain when it's cold?,Mechanistic
Why do fungi decompose wood and other organisms?,Mechanistic
Why do cut fruits turn brown?,Mechanistic
Why does honey never spoil?,Mechanistic
Why does the human body maintain a particular temperature?,Mechanistic
Why does butterfly have a short lifespan?,Mechanistic
Why do snails produce slime?,Mechanistic
Why do humans have hair on their body?,Mechanistic
Why does the human brain have two hemispheres?,Mechanistic
Why do pine cones open when dry?,Mechanistic
Why do Jupiter and Saturn have rings?,Mechanistic
Why is soap able to clean greasy substances?,Mechanistic
Why does the heart rate increase with exercise?,Mechanistic
Why are leaves green and not other colors?,Mechanistic
Why does the moon have craters?,Mechanistic
Why do we have different seasons?,Mechanistic
Why does salt melt ice?,Mechanistic
Why is gold valuable?,Teleological
Why do birds have feathers?,Teleological
Why does water boil?,Mechanistic
Why do magnets attract metal?,Mechanistic
Why is carbon important?,Teleological
Why do humans need to breathe oxygen?,Mechanistic
Why does lightning strike?,Mechanistic
Why do trees lose leaves in the fall?,Mechanistic
Why do earthquakes happen?,Mechanistic
Why does water freeze?,Mechanistic
Why are there different blood types?,Mechanistic
Why do flowers have different colors?,Mechanistic
Why do humans need to drink water?,Mechanistic
Why does the sun rise in the east?,Mechanistic
Why do fruits change color as they ripen?,Mechanistic
Why does beer foam?,Mechanistic
Why is copper conductive?,Mechanistic
Why do hummingbirds flap their wings so fast?,Mechanistic
Why is gravity important?,Mechanistic
Why is there no air in space?,Mechanistic
Why do sound waves travel faster in solids?,Mechanistic
Why does hair turn grey?,Mechanistic
Why is Nitrogen important for plants?,Mechanistic
Why is honey sticky?,Mechanistic
Why do batteries die?,Mechanistic
Why are whales mammals?,Mechanistic
Why is plastic not biodegradable?,Mechanistic
Why do genes matter?,Mechanistic
Why does soap kill bacteria?,Mechanistic
Why do we blink?,Mechanistic
Why do mosquitos bite?,Mechanistic
Why do onions make you cry?,Mechanistic
Why do ants live in colonies?,Teleological
Why do humans need to sleep?,Mechanistic
Why can't humans breathe underwater?,Mechanistic
Why is water a universal solvent?,Teleological
Why do apples turn brown after being cut?,Mechanistic
Why do metals conduct heat well?,Mechanistic
Why is sulfur used in fireworks?,Mechanistic
Why do icebergs float?,Mechanistic
Why are clouds white?,Mechanistic
Why is Chlorophyll green?,Mechanistic
Why is sodium explosive in water?,Mechanistic
Why do clouds form?,Mechanistic
Why does photosynthesis occur?,Mechanistic
Why do bees die after stinging?,Mechanistic
Why do we have day and night?,Mechanistic
Why can't we see air?,Mechanistic
Why is the touch sense important?,Mechanistic
Why does vinegar react with baking soda?,Mechanistic
Why do planets rotate?,Mechanistic
Why are metals malleable?,Mechanistic
Why does fire produce light?,Mechanistic
Why is the heart so important?,Mechanistic
Why is oxygen a diatomic molecule?,Mechanistic
Why do solar panels need sunlight?,Mechanistic
Why are veins blue?,Mechanistic
Why are plants immobile?,Mechanistic
Why is helium lighter than air?,Mechanistic
Why do dogs wag their tails?,Teleological
Why is silicon used in computer chips?,Mechanistic
Why are liquids incompressible?,Mechanistic
Why are diamonds hard?,Mechanistic
Why does rust occur?,Mechanistic
Why does evaporation cause cooling?,Mechanistic
Why does rain occur?,Mechanistic
Why does caffeine wake you up?,Mechanistic
Why are hurricanes destructive?,Mechanistic
Why does fermentation occur?,Mechanistic
Why are fossils important?,Teleological
Why is plastics not a conductor of electricity?,Mechanistic
Why is baking powder used in cakes?,Mechanistic
Why are snowflakes unique?,Mechanistic
Why is the ozone hole a concern?,Mechanistic
Why do things seem slower under water?,Mechanistic
Why do flowers smell?,Mechanistic
Why are some bacteria beneficial?,Teleological
Why does geyser water get hot?,Mechanistic
Why do mushrooms grow in moist places?,Mechanistic
Why don't oceans freeze completely in winter?,Mechanistic
Why do objects fall towards the ground?,Mechanistic
Why are leaves green?,Mechanistic
Why does the moon change its shape?,Mechanistic
Why do trees lose their leaves in autumn?,Mechanistic
Why is the grass green?,Mechanistic
Why do we need to breathe?,Mechanistic
Why do birds fly south for the winter?,Mechanistic
Why can't humans fly?,Mechanistic
Why is water important for life?,Mechanistic
Why do we sleep?,Mechanistic
Why are there seasons?,Mechanistic
Why is solar energy considered renewable?,Mechanistic
Why do hurricanes form?,Mechanistic
Why can't some people see colors?,Mechanistic
Why do some metals conduct electricity better than others?,Mechanistic
Why does sound travel faster in solids than in gases?,Mechanistic
Why is a year 365 days?,Mechanistic
Why do some animals hibernate?,Mechanistic
Why does salt dissolve in water?,Mechanistic
Why do we sneeze?,Mechanistic
Why do deserts exist?,Mechanistic
Why can't we drink sea water?,Mechanistic
Why are there different types of blood groups?,Mechanistic
Why is gold expensive?,Teleological
Why do our stomachs growl?,Mechanistic
Why is oil less dense than water?,Mechanistic
Why are computers binary?,Mechanistic
Why is space a vacuum?,Mechanistic
Why does DNA have a helical structure?,Mechanistic
Why do we yawn when others yawn?,Mechanistic
Why does a pendulum swing?,Mechanistic
Why is plastic flexible?,Mechanistic
Why do bees make honey?,Teleological
Why is fluoride in toothpaste?,Mechanistic
Why do birds lay eggs?,Teleological
Why does coffee make us awake?,Mechanistic
Why is sugar bad for us?,Mechanistic
Why is fiber important in our diet?,Mechanistic
Why are the northern and southern lights (aurora borealis and aurora australis) colourful?,Mechanistic
Why does the human body need minerals?,Mechanistic
Why do we vomit?,Mechanistic
Why do apples turn brown when you cut them?,Mechanistic
Why is there gravity?,Mechanistic
Why do magnets stick to metal?,Mechanistic
Why are bees important for the ecosystem?,Teleological
Why are oceans salty?,Mechanistic
Why is recycling important?,Mechanistic
Why do we get sick?,Mechanistic
Why are there different types of rocks?,Mechanistic
Why does alcohol make us drunk?,Mechanistic
Why does the brain have different parts?,Mechanistic
Why are some substances toxic to the body?,Mechanistic
Why is there a hole in the ozone layer?,Mechanistic
Why do humans have different blood types?,Mechanistic
Why does the knee bend only one way?,Mechanistic
Why do some animals glow in the dark?,Teleological
Why is nitrogen important for plants?,Mechanistic
Why are there earthquakes?,Mechanistic
Why are there different time zones?,Mechanistic
Why do dogs have a strong sense of smell?,Mechanistic
Why do certain chemicals react with each other?,Mechanistic
Why is balancing chemical equations important?,Mechanistic
Why is DNA important in identifying individuals?,Mechanistic
Why does the moon have phases?,Mechanistic
Why don't oil and water mix?,Mechanistic
Why is water H2O?,Mechanistic
Why does the moon affect the tides?,Mechanistic
Why do we have leap years?,Mechanistic
Why do birds fly in a V formation?,Mechanistic
Why does electricity flow better in some materials than others?,Mechanistic
Why is DNA helical in shape?,Mechanistic
Why do wounds itch when they are healing?,Mechanistic
Why does it rain?,Mechanistic
Why is the periodic table arranged the way it is?,Mechanistic
Why is grass green?,Mechanistic
Why does the human body need sleep?,Mechanistic
Why do we see different colors?,Mechanistic
Why is there more gravity on Earth than on the Moon?,Mechanistic
Why do atoms form bonds?,Teleological
Why does the rainbow have seven colors?,Mechanistic
Why do we hear thunder after seeing lightning?,Mechanistic
Why is heart rate important to exercise?,Mechanistic
Why is nitrogen necessary for plants?,Mechanistic
Why is carbon the basis for life?,Mechanistic
Why are cats more nocturnal than dogs?,Mechanistic
Why do plants bend towards the light?,Mechanistic
Why does a day have 24 hours?,Mechanistic
Why are blood types different?,Mechanistic
Why do we sweat when we are hot?,Mechanistic
Why is the human brain so complex?,Mechanistic
Why is nuclear fission harmful?,Mechanistic
Why are butterflies and moths different?,Mechanistic
Why are hurricanes circular in shape?,Mechanistic
Why do seasons change?,Mechanistic
Why does sound travel faster through solid than air?,Mechanistic
Why can't humans breathe underwater like fish?,Mechanistic
Why are bats the only mammals that can fly?,Teleological
Why does blood appear red?,Mechanistic
Why does mold grow on food?,Mechanistic
Why do some metals rust while others don't?,Mechanistic
Why is gold unreactive?,Mechanistic
Why is the Mars red?,Mechanistic
Why do nails and hair grow?,Mechanistic
Why do meteors burn up in the atmosphere?,Mechanistic
Why do some animals evolve faster than others?,Mechanistic
Why do chips and cracks in windshield glass spread?,Mechanistic
Why are there different types of clouds?,Mechanistic
Why does a mirror flip images horizontally but not vertically?,Mechanistic
Why does boiling water make pasta soft?,Mechanistic
Why does alcohol affect the liver?,Mechanistic
Why is milk white?,Mechanistic
Why does inhaling helium make your voice higher?,Mechanistic
Why do cuts and bruises heal?,Mechanistic
Why does the sun appear larger at sunrise and sunset?,Mechanistic
Why does matter exist in three states?,Mechanistic
Why do we have different types of rocks?,Mechanistic
Why are there different species of the same animal?,Mechanistic
Why does tea stain teeth?,Mechanistic
Why does the human body contain more bacteria than human cells?,Mechanistic
Why is the universe expanding?,Mechanistic
Why do ants march in a line?,Mechanistic
Why does sugar dissolve faster in warm water?,Mechanistic
Why do eggs harden when boiled?,Mechanistic
Why are there different types of blood cells?,Mechanistic
Why can't we see ultraviolet or infrared light?,Mechanistic
Why does skin wrinkle in water?,Mechanistic
Why do fluorescent lights flicker?,Mechanistic
Why do flowers bloom?,Teleological
Why does fire need oxygen?,Mechanistic
Why do we get sunburned?,Mechanistic
Why is ocean water salty?,Mechanistic
Why do we get hiccups?,Mechanistic
Why don't birds get electrocuted when sitting on power lines?,Mechanistic
Why does our stomach growl when we are hungry?,Mechanistic
"Why is Venus the hottest planet in the solar system, not Mercury?",Mechanistic
Why do rubber bands stretch?,Mechanistic
Why does ice cream melt?,Mechanistic
Why do helium balloons deflate over time?,Mechanistic
Why does friction cause heat?,Mechanistic
Why are insects attracted to light?,Teleological
Why do cacti store water?,Mechanistic
Why is oil non-polar?,Mechanistic
Why is nitrogen a gas at room temperature?,Mechanistic
Why are isotopes unstable?,Mechanistic
Why are marine animals able to live in salt water?,Mechanistic
Why are leaves green typically?,Mechanistic
Why is carbon monoxide harmful for humans?,Mechanistic
Why do fruits change color when they ripen?,Mechanistic
Why is helium used in balloons?,Mechanistic
Why are bacteria important to the ecosystem?,Mechanistic
Why is Venus the hottest planet?,Mechanistic
Why are blood cells red?,Mechanistic
Why does a match light when scratched?,Mechanistic
Why do satellites not fall into Earth?,Mechanistic
Why is methane a greenhouse gas?,Mechanistic
Why do apples turn brown when cut open?,Mechanistic
Why do reptiles lay eggs?,Mechanistic
Why is acid rain harmful?,Mechanistic
Why do we perceive light as white?,Mechanistic
Why does osmosis occur?,Mechanistic
Why does chewing gum help with motion sickness?,Mechanistic
Why does the moon look bigger when it is close to the horizon?,Mechanistic
Why is hydrogen found in the sun?,Mechanistic
Why does concrete absorb water?,Mechanistic
Why is argon used in light bulbs?,Mechanistic
Why are volcanoes found along tectonic plate boundaries?,Mechanistic
Why do geese fly in a V formation?,Mechanistic
Why is a rainbow arched?,Mechanistic
Why does the frequency of a wave determine its energy?,Mechanistic
Why can we see stars?,Mechanistic
Why do things appear different under water?,Mechanistic
Why is chlorine used in swimming pools?,Mechanistic
Why is bio-diversity important?,Teleological
Why does our hair stand up when we get goosebumps?,Mechanistic
Why is copper a good conductor of electricity?,Mechanistic
Why do plants grow towards the light?,Mechanistic
Why is the sea salty?,Mechanistic
Why don't insects drown in rain?,Mechanistic
Why does static electricity cause hair to stand up?,Mechanistic
Why does carbon dioxide extinguish fire?,Mechanistic
Why do peppers taste hot?,Mechanistic
Why is calcium important for the body?,Teleological
Why does the tide follow the moon?,Mechanistic
Why do people sneeze?,Mechanistic
Why does water have a high boiling point?,Mechanistic
Why do some substances glow under UV light?,Mechanistic
Why do fish have scales?,Teleological
Why is oxygen required for combustion?,Mechanistic
Why do dogs pant?,Mechanistic
Why is DNA replication necessary?,Mechanistic
Why do hot air balloons rise?,Mechanistic
Why is photosynthesis important for life on Earth?,Mechanistic
Why is lightning attracted to metal?,Mechanistic
Why do certain fruits ripen faster in a paper bag?,Mechanistic
Why are aeroplanes typically white?,Mechanistic
Why do bees die after they sting?,Mechanistic
Why do high altitude areas have lower temperature?,Mechanistic
Why do planets revolve around the sun?,Mechanistic
Why do wasps sting?,Teleological
Why do we have blood types?,Mechanistic
Why does yeast make dough rise?,Mechanistic
Why does soap clean?,Mechanistic
Why does a prism separate white light into colors?,Mechanistic
Why are most plants green?,Mechanistic
Why does the moon affect the tides on Earth?,Mechanistic
Why is space silent?,Mechanistic
Why do auroras appear near the poles?,Mechanistic
Why is water polar?,Mechanistic
Why do some objects attract while others repel in physics?,Mechanistic
Why do we need to balance chemical equations?,Mechanistic
Why does the moon orbit the Earth?,Mechanistic
Why do humans need oxygen to survive?,Mechanistic
Why is cellular respiration vital for life?,Teleological
Why is carbon considered the building block of life?,Teleological
Why does rust form?,Mechanistic
Why do apples turn brown when cut?,Mechanistic
Why is diamond the hardest substance?,Mechanistic
Why is plastic non-biodegradable?,Mechanistic
Why does metal conduct electricity?,Mechanistic
Why do viruses make us sick?,Mechanistic
Why are bees critical for pollination?,Teleological
Why is the heart a vital organ?,Mechanistic
Why does the earth's magnetic pole shift?,Mechanistic
Why are spiders not considered insects?,Mechanistic
Why is genetic variation essential for survival?,Mechanistic
Why does hair turn gray as we age?,Mechanistic
Why do plants grow towards light?,Mechanistic
Why does sugar dissolve faster in hot water?,Mechanistic
Why can't we see in the dark?,Mechanistic
Why does copper turn green over time?,Mechanistic
Why is there more biodiversity in the tropics?,Mechanistic
Why do bananas ripen faster in a bunch?,Mechanistic
Why does a compass always point north?,Mechanistic
Why is the brain divided into two hemispheres?,Mechanistic
Why is mercury used in thermometers?,Mechanistic
Why do we recall dreams only sometimes?,Mechanistic
Why do plants need chlorophyll?,Teleological
Why is breaking glass a physical change?,Mechanistic
Why does iron corrode but gold does not?,Mechanistic
